   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000  222.467  222.467 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:16(_make)
       51    0.000    0.000    0.000    0.000 __init__.py:1357(log)
       51    0.000    0.000    0.000    0.000 __init__.py:1528(getEffectiveLevel)
       51    0.000    0.000    0.000    0.000 __init__.py:1542(isEnabledFor)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
     1000    0.002    0.000    0.002    0.000 _internal.py:241(__init__)
     1000    0.000    0.000    0.000    0.000 _internal.py:266(get_data)
       38    0.000    0.000    0.001    0.000 _methods.py:34(_prod)
        7    0.000    0.000    0.000    0.000 _methods.py:40(_all)
     1000    0.002    0.000    0.003    0.000 _methods.py:43(_count_reduce_items)
     1000    0.011    0.000    0.028    0.000 _methods.py:53(_mean)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
   670808    0.770    0.000    0.770    0.000 _weakrefset.py:70(__contains__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
   335420    1.019    0.000    1.789    0.000 abc.py:178(__instancecheck__)
      9/2    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 array_grad.py:459(_IdGrad)
        4    0.000    0.000    0.003    0.001 array_ops.py:114(identity)
       20    0.000    0.000    0.014    0.001 array_ops.py:249(shape)
       20    0.000    0.000    0.014    0.001 array_ops.py:274(shape_internal)
        2    0.000    0.000    0.001    0.000 array_ops.py:302(size)
        2    0.000    0.000    0.001    0.000 array_ops.py:328(size_internal)
        1    0.000    0.000    0.000    0.000 array_ops.py:938(_get_dtype_from_nested_lists)
        1    0.000    0.000    0.000    0.000 array_ops.py:959(_autopacking_conversion_function)
   334565    0.500    0.000    1.079    0.000 c_api_util.py:29(__init__)
   334565    0.678    0.000    1.085    0.000 c_api_util.py:32(__del__)
      500    0.001    0.000    0.002    0.000 callbacks.py:118(on_train_begin)
      500    0.001    0.000    0.001    0.000 callbacks.py:128(on_train_end)
      500    0.000    0.000    0.001    0.000 callbacks.py:138(__iter__)
     1000    0.001    0.000    0.001    0.000 callbacks.py:169(__init__)
     1000    0.000    0.000    0.000    0.000 callbacks.py:173(set_params)
     1000    0.000    0.000    0.000    0.000 callbacks.py:176(set_model)
      500    0.000    0.000    0.000    0.000 callbacks.py:179(on_epoch_begin)
     1000    0.000    0.000    0.000    0.000 callbacks.py:185(on_batch_begin)
      500    0.000    0.000    0.000    0.000 callbacks.py:188(on_batch_end)
      500    0.000    0.000    0.000    0.000 callbacks.py:191(on_train_begin)
     1000    0.000    0.000    0.000    0.000 callbacks.py:194(on_train_end)
      500    0.000    0.000    0.000    0.000 callbacks.py:204(on_epoch_begin)
      500    0.017    0.000    0.017    0.000 callbacks.py:208(on_batch_end)
      500    0.002    0.000    0.002    0.000 callbacks.py:219(on_epoch_end)
      500    0.001    0.000    0.001    0.000 callbacks.py:318(on_train_begin)
      500    0.002    0.000    0.003    0.000 callbacks.py:322(on_epoch_end)
      500    0.001    0.000    0.001    0.000 callbacks.py:34(__init__)
      500    0.000    0.000    0.000    0.000 callbacks.py:36(<listcomp>)
      500    0.001    0.000    0.001    0.000 callbacks.py:42(set_params)
      500    0.001    0.000    0.001    0.000 callbacks.py:46(set_model)
      500    0.004    0.000    0.004    0.000 callbacks.py:50(on_epoch_begin)
      500    0.002    0.000    0.006    0.000 callbacks.py:64(on_epoch_end)
      500    0.005    0.000    0.068    0.000 callbacks.py:75(on_batch_begin)
      500    0.007    0.000    0.091    0.000 callbacks.py:96(on_batch_end)
      504    0.000    0.000    0.000    0.000 common.py:44(floatx)
      178    0.002    0.000    0.033    0.000 common_shapes.py:588(call_cpp_shape_fn)
      179    0.004    0.000    0.030    0.000 common_shapes.py:650(_call_cpp_shape_fn_impl)
      318    0.002    0.000    0.007    0.000 common_shapes.py:656(tensor_to_inference_result)
      179    0.001    0.000    0.008    0.000 common_shapes.py:664(<listcomp>)
      179    0.000    0.000    0.000    0.000 common_shapes.py:666(<listcomp>)
      179    0.000    0.000    0.000    0.000 common_shapes.py:674(<listcomp>)
      179    0.001    0.000    0.001    0.000 common_shapes.py:703(<listcomp>)
      179    0.000    0.000    0.000    0.000 common_shapes.py:706(<listcomp>)
      179    0.000    0.000    0.000    0.000 common_shapes.py:708(<listcomp>)
  1340591    1.251    0.000    2.276    0.000 compat.py:46(as_bytes)
      373    0.000    0.000    0.000    0.000 compat.py:68(as_text)
       34    0.001    0.000    0.016    0.000 constant_op.py:129(constant)
       14    0.000    0.000    0.006    0.000 constant_op.py:226(_constant_tensor_conversion_function)
      277    0.000    0.000    0.000    0.000 context.py:144(in_graph_mode)
   334988    0.286    0.000    0.286    0.000 context.py:148(in_eager_mode)
   335261    0.152    0.000    0.152    0.000 context.py:307(context)
       99    0.000    0.000    0.000    0.000 context.py:322(in_graph_mode)
   334392    0.458    0.000    0.895    0.000 context.py:327(in_eager_mode)
   669679    0.841    0.000    3.025    0.000 contextlib.py:157(helper)
   669679    1.828    0.000    2.184    0.000 contextlib.py:59(__init__)
669679/669607    0.402    0.000    1.628    0.000 contextlib.py:79(__enter__)
669679/669607    1.414    0.000    3.089    0.000 contextlib.py:85(__exit__)
        1    0.000    0.000    0.000    0.000 control_flow_ops.py:1291(MaybeCreateControlFlowState)
       41    0.000    0.000    0.000    0.000 control_flow_ops.py:1319(IsLoopExit)
        3    0.000    0.000    0.002    0.001 control_flow_ops.py:2897(_GroupControlDeps)
        4    0.000    0.000    0.002    0.001 control_flow_ops.py:2907(group)
      178    0.001    0.000    0.003    0.000 copy.py:132(deepcopy)
      178    0.000    0.000    0.000    0.000 copy.py:252(_keep_alive)
        3    0.000    0.000    0.000    0.000 copy.py:268(_reconstruct)
      503    0.001    0.000    0.002    0.000 copy.py:66(copy)
        3    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
     1000    0.001    0.000    0.002    0.000 core.py:6192(isMaskedArray)
        6    0.000    0.000    0.000    0.000 device.py:106(replica)
        6    0.000    0.000    0.000    0.000 device.py:110(replica)
        6    0.000    0.000    0.000    0.000 device.py:117(task)
        6    0.000    0.000    0.000    0.000 device.py:121(task)
        6    0.000    0.000    0.000    0.000 device.py:128(parse_from_string)
        6    0.000    0.000    0.000    0.000 device.py:146(<listcomp>)
        3    0.000    0.000    0.000    0.000 device.py:175(merge_from)
        3    0.000    0.000    0.000    0.000 device.py:192(to_string)
        6    0.000    0.000    0.000    0.000 device.py:213(from_string)
        3    0.000    0.000    0.000    0.000 device.py:255(merge_device)
        3    0.000    0.000    0.000    0.000 device.py:283(_device_function)
        6    0.000    0.000    0.000    0.000 device.py:65(__init__)
        6    0.000    0.000    0.000    0.000 device.py:88(_clear)
        6    0.000    0.000    0.000    0.000 device.py:95(job)
        6    0.000    0.000    0.000    0.000 device.py:99(job)
       33    0.000    0.000    0.000    0.000 dtypes.py:115(is_numpy_compatible)
   335447    0.283    0.000    0.283    0.000 dtypes.py:123(as_numpy_dtype)
     1941    0.000    0.000    0.000    0.000 dtypes.py:128(as_datatype_enum)
       11    0.000    0.000    0.000    0.000 dtypes.py:144(is_floating)
        1    0.000    0.000    0.000    0.000 dtypes.py:150(is_complex)
      506    0.001    0.000    0.002    0.000 dtypes.py:235(is_compatible_with)
      721    0.001    0.000    0.001    0.000 dtypes.py:258(__eq__)
      172    0.000    0.000    0.000    0.000 dtypes.py:268(__ne__)
       64    0.000    0.000    0.000    0.000 dtypes.py:286(__hash__)
